powder,test,media,mean_count,mean_SPR,lab,mean_count2,log_mean_count
E,STSE,PCMA,0,0,IA,10,1
E,STSE,TSA,0,0,IA,10,1
E,SP.MSC,PCMA,200,0,IA,200,2.301029996
E,SP.MSC,TSA,240,0,IA,240,2.380211242
F,HHR.TSC,PCMA,1900,0,IA,1900,3.278753601
F,HHR.TSC,TSA,5940,0,IA,5940,3.773786445
F,STSE,PCMA,2080,0,IA,2080,3.318063335
F,STSE,TSA,3780,0,IA,3780,3.5774918
F,SP.MSC,PCMA,80,0,IA,80,1.903089987
F,SP.MSC,TSA,60,0,IA,60,1.77815125
G,HHR.TSC,PCMA,500,0,IA,500,2.698970004
G,HHR.TSC,TSA,680,0,IA,680,2.832508913
G,STSE,PCMA,100,0,IA,100,2
G,STSE,TSA,220,0,IA,220,2.342422681
G,SP.MSC,PCMA,0,0,IA,10,1
G,SP.MSC,TSA,140,0,IA,140,2.146128036
H,HHR.TSC,PCMA,100,0,IA,100,2
H,HHR.TSC,TSA,60,0,IA,60,1.77815125
H,STSE,PCMA,20,0,IA,20,1.301029996
H,STSE,TSA,140,0,IA,140,2.146128036
H,SP.MSC,PCMA,40,0,IA,40,1.602059991
H,SP.MSC,TSA,160,0,IA,160,2.204119983
I,HHR.TSC,PCMA,220,0,IA,220,2.342422681
I,HHR.TSC,TSA,280,0,IA,280,2.447158031
I,STSE,PCMA,40,0,IA,40,1.602059991
I,STSE,TSA,0,0,IA,10,1
I,SP.MSC,PCMA,140,0,IA,140,2.146128036
I,SP.MSC,TSA,80,0,IA,80,1.903089987
J,HHR.TSC,PCMA,100,0,IA,100,2
J,HHR.TSC,TSA,1020,0,IA,1020,3.008600172
J,STSE,PCMA,160,0,IA,160,2.204119983
J,STSE,TSA,420,0,IA,420,2.62324929
J,SP.MSC,PCMA,40,0,IA,40,1.602059991
J,SP.MSC,TSA,20,0,IA,20,1.301029996
A,HHR.TSC,PCMA,20,0,IB,20,1.301029996
A,HHR.TSC,TSA,0,0,IB,10,1
A,STSE,PCMA,720,0,IB,720,2.857332496
A,STSE,TSA,0,0,IB,10,1
A,SP.MSC,PCMA,60,1,IB,60,1.77815125
A,SP.MSC,TSA,100,1,IB,100,2
B,HHR.TSC,PCMA,0,0,IB,10,1
B,HHR.TSC,TSA,40,0,IB,40,1.602059991
B,STSE,PCMA,20,0,IB,20,1.301029996
B,STSE,TSA,0,0,IB,10,1
B,SP.MSC,PCMA,60,0,IB,60,1.77815125
B,SP.MSC,TSA,60,0,IB,60,1.77815125
C,HHR.TSC,PCMA,0,0,IB,10,1
C,HHR.TSC,TSA,0,0,IB,10,1
C,STSE,PCMA,40,0,IB,40,1.602059991
C,STSE,TSA,140,0,IB,140,2.146128036
C,SP.MSC,PCMA,60,1,IB,60,1.77815125
C,SP.MSC,TSA,100,1,IB,100,2
D,HHR.TSC,PCMA,60,0,IB,60,1.77815125
D,HHR.TSC,TSA,0,0,IB,10,1
D,STSE,PCMA,60,0,IB,60,1.77815125
D,STSE,TSA,0,0,IB,10,1
D,SP.MSC,PCMA,140,1,IB,140,2.146128036
D,SP.MSC,TSA,160,0,IB,160,2.204119983
E,HHR.TSC,PCMA,20,0,IB,20,1.301029996
E,HHR.TSC,TSA,40,0,IB,40,1.602059991
E,STSE,PCMA,0,0,IB,10,1
E,STSE,TSA,0,0,IB,10,1
E,SP.MSC,PCMA,220,1,IB,220,2.342422681
E,SP.MSC,TSA,100,1,IB,100,2
F,HHR.TSC,PCMA,20,0,IB,20,1.301029996
F,HHR.TSC,TSA,0,0,IB,10,1
F,STSE,PCMA,40,0,IB,40,1.602059991
F,STSE,TSA,40,0,IB,40,1.602059991
F,SP.MSC,PCMA,60,0,IB,60,1.77815125
F,SP.MSC,TSA,60,0,IB,60,1.77815125
G,HHR.TSC,PCMA,140,0,IB,140,2.146128036
G,HHR.TSC,TSA,0,0,IB,10,1
G,STSE,PCMA,0,0,IB,10,1
G,STSE,TSA,0,0,IB,10,1
G,SP.MSC,PCMA,80,1,IB,80,1.903089987
