powder,test,media,mean_count,lab
H,SP.MSC,TSAwS,120,UB
I,HHR.TSC,PCMA,1360,UB
I,HHR.TSC,TSAwS,60,UB
I,STSE,PCMA,0,UB
I,STSE,TSAwS,0,UB
I,SP.MSC,PCMA,10800,UB
I,SP.MSC,TSAwS,5120,UB
J,HHR.TSC,PCMA,1360,UB
J,HHR.TSC,TSAwS,720,UB
J,STSE,PCMA,220,UB
J,STSE,TSAwS,40,UB
J,SP.MSC,PCMA,0,UB
J,SP.MSC,TSAwS,0,UB
A,HHR.TSC,PCMA,0,UD
A,HHR.TSC,TSAwS,0,UD
A,STSE,PCMA,0,UD
A,STSE,TSAwS,0,UD
B,HHR.TSC,PCMA,420,UD
B,HHR.TSC,TSAwS,0,UD
B,STSE,PCMA,20,UD
B,STSE,TSAwS,0,UD
C,HHR.TSC,PCMA,120,UD
C,HHR.TSC,TSAwS,80,UD
C,STSE,PCMA,20,UD
C,STSE,TSAwS,0,UD
C,SP.MSC,TSAwS,60,UD
D,STSE,PCMA,0,UD
D,STSE,TSAwS,0,UD
E,HHR.TSC,PCMA,20,UD
E,HHR.TSC,TSAwS,0,UD
E,STSE,PCMA,0,UD
E,STSE,TSAwS,0,UD
F,HHR.TSC,PCMA,1180,UD
F,HHR.TSC,TSAwS,1680,UD
F,STSE,PCMA,1840,UD
F,STSE,TSAwS,1420,UD
G,HHR.TSC,PCMA,20,UD
G,HHR.TSC,TSAwS,0,UD
G,STSE,PCMA,40,UD
G,STSE,TSAwS,40,UD
H,HHR.TSC,PCMA,0,UD
H,HHR.TSC,TSAwS,0,UD
H,STSE,PCMA,0,UD
H,STSE,TSAwS,0,UD
I,HHR.TSC,PCMA,480,UD
I,STSE,PCMA,0,UD
I,STSE,TSAwS,0,UD
J,HHR.TSC,PCMA,0,UD
J,HHR.TSC,TSAwS,20,UD
J,STSE,PCMA,220,UD
J,STSE,TSAwS,20,UD
