"","powder","media","plating","test","mean_count","mean_spread_percent","mean_count_wNA","SPR","SPRs","temp_media","mean_count2","log_mean_count","log_mean_count_wNA","mean_spread_percent_wNA","SPRs_wNA","SPR_wNA"
"50","B","BHI","Pour","SP.MSC",390,0,390,"no","none","Pour",390,2.5910646070265,2.5910646070265,0,"none","no"
"51","B","BHI","Pour","SP.TSC",157000,0,157000,"no","none","Pour",157000,5.19589965240923,5.19589965240923,0,"none","no"
"52","B","BHI","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"53","B","BHI","Spread","HHR.TSC",180,0,180,"no","none","Spread",180,2.25527250510331,2.25527250510331,0,"none","no"
"54","B","BHI","Spread","SP.MSC",280,0,280,"no","none","Spread",280,2.44715803134222,2.44715803134222,0,"none","no"
"55","B","BHI","Spread","SP.TSC",6000,0,6000,"no","none","Spread",6000,3.77815125038364,3.77815125038364,0,"none","no"
"56","B","BHI","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"57","B","BHI","SpreadwOverlay","HHR.TSC",2680,0,2680,"no","none","SpreadwOverlay",2680,3.42813479402879,3.42813479402879,0,"none","no"
"58","B","BHI","SpreadwOverlay","SP.MSC",300,0,300,"no","none","SpreadwOverlay",300,2.47712125471966,2.47712125471966,0,"none","no"
"59","B","BHI","SpreadwOverlay","SP.TSC",40000,0,40000,"no","none","SpreadwOverlay",40000,4.60205999132796,4.60205999132796,0,"none","no"
"60","B","BHI","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"61","B","PCMA","Pour","HHR.TSC",94000,0,94000,"no","none","Pour",94000,4.9731278535997,4.9731278535997,0,"none","no"
"62","B","PCMA","Pour","SP.MSC",120,0,120,"no","none","Pour",120,2.07918124604762,2.07918124604762,0,"none","no"
"63","B","PCMA","Pour","SP.TSC",442000,0,442000,"no","none","Pour",442000,5.64542226934909,5.64542226934909,0,"none","no"
"64","B","PCMA","Pour","STSE",60,0,60,"no","none","Pour",60,1.77815125038364,1.77815125038364,0,"none","no"
"65","B","PCMA","Spread","HHR.TSC",34000,0,34000,"no","none","Spread",34000,4.53147891704226,4.53147891704226,0,"none","no"
"66","B","PCMA","Spread","SP.MSC",60,0,60,"no","none","Spread",60,1.77815125038364,1.77815125038364,0,"none","no"
"67","B","PCMA","Spread","SP.TSC",474000,0,474000,"no","none","Spread",474000,5.67577834167408,5.67577834167408,0,"none","no"
"68","B","PCMA","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"69","B","PCMA","SpreadwOverlay","HHR.TSC",50000,0,50000,"no","none","SpreadwOverlay",50000,4.69897000433602,4.69897000433602,0,"none","no"
