,media,test,powder,mean,sd,cv,n
1,PCMA,SP-MSC,A,1.69,0.36,21.10,3
2,PCMA,SP-MSC,B,2.80,1.59,56.68,3
3,PCMA,SP-MSC,C,1.56,0.24,15.46,3
4,PCMA,SP-MSC,D,2.03,0.26,12.95,3
5,PCMA,SP-MSC,E,2.70,0.39,14.37,3
6,PCMA,SP-MSC,F,1.40,0.17,12.40,3
7,PCMA,SP-MSC,G,2.04,0.70,34.07,3
8,PCMA,SP-MSC,H,2.00,0.20,9.79,3
9,PCMA,SP-MSC,I,2.41,1.44,59.51,3
10,PCMA,SP-MSC,J,1.40,0.35,24.80,3
11,PCMA,HHR-TSC,A,1.27,0.37,28.93,4
12,PCMA,HHR-TSC,B,3.64,0.80,22.01,4
13,PCMA,HHR-TSC,C,2.04,0.18,8.90,4
14,PCMA,HHR-TSC,D,2.68,0.41,15.28,3
15,PCMA,HHR-TSC,E,1.76,0.38,21.79,4
16,PCMA,HHR-TSC,F,3.52,0.35,9.89,4
17,PCMA,HHR-TSC,G,2.61,0.88,33.77,4
18,PCMA,HHR-TSC,H,2.05,0.97,47.53,4
19,PCMA,HHR-TSC,I,3.00,1.00,33.37,4
20,PCMA,HHR-TSC,J,2.56,1.05,40.85,4
21,PCMA,STSE,A,1.08,0.15,14.00,4
22,PCMA,STSE,B,1.08,0.15,14.00,4
23,PCMA,STSE,C,1.42,0.34,24.12,4
24,PCMA,STSE,D,1.80,0.67,37.42,4
25,PCMA,STSE,E,1.08,0.15,14.00,4
26,PCMA,STSE,F,3.29,0.19,5.82,4
27,PCMA,STSE,G,2.00,0.41,20.36,4
28,PCMA,STSE,H,1.15,0.30,26.16,4
29,PCMA,STSE,I,1.27,0.54,42.49,4
30,PCMA,STSE,J,2.42,0.25,10.33,4
31,TSAwS,SP-MSC,A,2.27,0.25,11.20,3
32,TSAwS,SP-MSC,B,2.40,0.09,3.92,3
33,TSAwS,SP-MSC,C,1.85,0.28,15.13,4
34,TSAwS,SP-MSC,D,2.09,0.10,4.91,3
35,TSAwS,SP-MSC,E,2.57,0.46,17.80,3
36,TSAwS,SP-MSC,F,1.73,0.38,21.83,3
37,TSAwS,SP-MSC,G,2.54,0.23,9.10,3
38,TSAwS,SP-MSC,H,2.15,0.20,9.32,3
39,TSAwS,SP-MSC,I,2.58,1.01,38.97,3
40,TSAwS,SP-MSC,J,1.40,0.46,32.81,3
41,TSAwS,HHR-TSC,A,1.15,0.17,15.11,4
42,TSAwS,HHR-TSC,B,2.26,0.88,38.75,4
43,TSAwS,HHR-TSC,C,1.80,0.34,18.96,4
44,TSAwS,HHR-TSC,D,2.58,0.77,29.63,3
45,TSAwS,HHR-TSC,E,1.30,0.35,26.72,4
46,TSAwS,HHR-TSC,F,3.51,0.21,5.85,4
47,TSAwS,HHR-TSC,G,2.08,0.75,35.90,4
48,TSAwS,HHR-TSC,H,1.27,0.37,28.93,4
49,TSAwS,HHR-TSC,I,1.66,0.32,19.13,3
50,TSAwS,HHR-TSC,J,2.37,0.74,31.17,4
51,TSAwS,STSE,A,1.00,0.00,0.00,4
52,TSAwS,STSE,B,1.00,0.00,0.00,4
53,TSAwS,STSE,C,1.15,0.17,15.11,4
54,TSAwS,STSE,D,1.46,0.55,37.56,4
55,TSAwS,STSE,E,1.08,0.15,14.00,4
56,TSAwS,STSE,F,2.98,0.15,4.91,4
57,TSAwS,STSE,G,1.50,0.34,22.78,4
58,TSAwS,STSE,H,1.00,0.00,0.00,4
59,TSAwS,STSE,I,1.00,0.00,0.00,4
60,TSAwS,STSE,J,1.42,0.34,24.12,4
