"","lab","media","test","powder","mean_count","mean_count2","log_mean_count"
"100","UD","PCMA","STSE","E",0,10,1
"101","UC","PCMA","STSE","F",2500,2500,3.39794000867204
"102","UA","PCMA","STSE","F",2940,2940,3.46834733041216
"103","UB","PCMA","STSE","F",1080,1080,3.03342375548695
"104","UD","PCMA","STSE","F",1840,1840,3.26481782300954
"105","UC","PCMA","STSE","G",120,120,2.07918124604762
"106","UA","PCMA","STSE","G",340,340,2.53147891704225
"107","UB","PCMA","STSE","G",60,60,1.77815125038364
"108","UD","PCMA","STSE","G",40,40,1.60205999132796
"109","UC","PCMA","STSE","H",40,40,1.60205999132796
"110","UA","PCMA","STSE","H",0,10,1
"111","UB","PCMA","STSE","H",0,10,1
"112","UD","PCMA","STSE","H",0,10,1
"113","UC","PCMA","STSE","I",120,120,2.07918124604762
"114","UA","PCMA","STSE","I",0,10,1
"115","UB","PCMA","STSE","I",0,10,1
"116","UD","PCMA","STSE","I",0,10,1
"117","UC","PCMA","STSE","J",600,600,2.77815125038364
"118","UA","PCMA","STSE","J",160,160,2.20411998265592
"119","UB","PCMA","STSE","J",220,220,2.34242268082221
"120","UD","PCMA","STSE","J",220,220,2.34242268082221
"121","UC","TSAwS","HHR.TSC","A",20,20,1.30102999566398
"122","UA","TSAwS","HHR.TSC","A",0,10,1
"123","UB","TSAwS","HHR.TSC","A",20,20,1.30102999566398
"124","UD","TSAwS","HHR.TSC","A",0,10,1
"125","UC","TSAwS","HHR.TSC","B",800,800,2.90308998699194
"126","UA","TSAwS","HHR.TSC","B",220,220,2.34242268082221
"127","UB","TSAwS","HHR.TSC","B",640,640,2.80617997398389
"128","UD","TSAwS","HHR.TSC","B",0,10,1
"129","UC","TSAwS","HHR.TSC","C",20,20,1.30102999566398
"130","UA","TSAwS","HHR.TSC","C",120,120,2.07918124604762
"131","UB","TSAwS","HHR.TSC","C",80,80,1.90308998699194
"132","UD","TSAwS","HHR.TSC","C",80,80,1.90308998699194
"133","UC","TSAwS","HHR.TSC","D",2900,2900,3.46239799789896
"134","UA","TSAwS","HHR.TSC","D",160,160,2.20411998265592
"135","UB","TSAwS","HHR.TSC","D",120,120,2.07918124604762
"136","UD","TSAwS","HHR.TSC","D",1060,1060,3.02530586526477
"137","UC","TSAwS","HHR.TSC","E",40,40,1.60205999132796
"138","UA","TSAwS","HHR.TSC","E",0,10,1
"139","UB","TSAwS","HHR.TSC","E",40,40,1.60205999132796
"140","UD","TSAwS","HHR.TSC","E",0,10,1
"141","UC","TSAwS","HHR.TSC","F",4960,4960,3.6954816764902
"142","UA","TSAwS","HHR.TSC","F",4100,4100,3.61278385671974
"143","UB","TSAwS","HHR.TSC","F",3120,3120,3.49415459401844
"144","UD","TSAwS","HHR.TSC","F",1680,1680,3.22530928172586
"145","UC","TSAwS","HHR.TSC","G",280,280,2.44715803134222
"146","UA","TSAwS","HHR.TSC","G",160,160,2.20411998265592
"147","UB","TSAwS","HHR.TSC","G",480,480,2.68124123737559
"148","UD","TSAwS","HHR.TSC","G",0,10,1
"149","UC","TSAwS","HHR.TSC","H",20,20,1.30102999566398
"150","UA","TSAwS","HHR.TSC","H",0,10,1
"151","UB","TSAwS","HHR.TSC","H",60,60,1.77815125038364
"152","UD","TSAwS","HHR.TSC","H",0,10,1
"153","UC","TSAwS","HHR.TSC","I",80,80,1.90308998699194
"154","UA","TSAwS","HHR.TSC","I",20,20,1.30102999566398
"155","UB","TSAwS","HHR.TSC","I",60,60,1.77815125038364
"156","UD","TSAwS","HHR.TSC","I",53.3333333333333,53.3333333333333,1.72699872793626
"157","UC","TSAwS","HHR.TSC","J",280,280,2.44715803134222
"158","UA","TSAwS","HHR.TSC","J",740,740,2.86923171973098
"159","UB","TSAwS","HHR.TSC","J",720,720,2.85733249643127
"160","UD","TSAwS","HHR.TSC","J",20,20,1.30102999566398
"161","UC","TSAwS","SP.MSC","A",200,200,2.30102999566398
"162","UA","TSAwS","SP.MSC","A",100,100,2
"163","UB","TSAwS","SP.MSC","A",320,320,2.50514997831991
"164","UD","TSAwS","SP.MSC","A",206.666666666667,206.666666666667,2.31527043477859
"165","UC","TSAwS","SP.MSC","B",220,220,2.34242268082221
"166","UA","TSAwS","SP.MSC","B",220,220,2.34242268082221
"167","UB","TSAwS","SP.MSC","B",320,320,2.50514997831991
"168","UD","TSAwS","SP.MSC","B",253.333333333333,253.333333333333,2.40369233756113
"169","UC","TSAwS","SP.MSC","C",180,180,2.25527250510331
"170","UA","TSAwS","SP.MSC","C",60,60,1.77815125038364
"171","UB","TSAwS","SP.MSC","C",40,40,1.60205999132796
"172","UD","TSAwS","SP.MSC","C",60,60,1.77815125038364
"173","UC","TSAwS","SP.MSC","D",160,160,2.20411998265592
"174","UA","TSAwS","SP.MSC","D",120,120,2.07918124604762
"175","UB","TSAwS","SP.MSC","D",100,100,2
"176","UD","TSAwS","SP.MSC","D",126.666666666667,126.666666666667,2.10266234189715
"177","UC","TSAwS","SP.MSC","E",160,160,2.20411998265592
"178","UA","TSAwS","SP.MSC","E",260,260,2.41497334797082
"179","UB","TSAwS","SP.MSC","E",1200,1200,3.07918124604762
"180","UD","TSAwS","SP.MSC","E",540,540,2.73239375982297
"181","UC","TSAwS","SP.MSC","F",100,100,2
"182","UA","TSAwS","SP.MSC","F",20,20,1.30102999566398
"183","UB","TSAwS","SP.MSC","F",80,80,1.90308998699194
"184","UD","TSAwS","SP.MSC","F",66.6666666666667,66.6666666666667,1.82390874094432
"185","UC","TSAwS","SP.MSC","G",300,300,2.47712125471966
"186","UA","TSAwS","SP.MSC","G",220,220,2.34242268082221
"187","UB","TSAwS","SP.MSC","G",620,620,2.79239168949825
"188","UD","TSAwS","SP.MSC","G",380,380,2.57978359661681
"189","UC","TSAwS","SP.MSC","H",100,100,2
"190","UA","TSAwS","SP.MSC","H",240,240,2.38021124171161
"191","UB","TSAwS","SP.MSC","H",120,120,2.07918124604762
"192","UD","TSAwS","SP.MSC","H",153.333333333333,153.333333333333,2.18563657696191
"193","UC","TSAwS","SP.MSC","I",180,180,2.25527250510331
"194","UA","TSAwS","SP.MSC","I",60,60,1.77815125038364
"195","UB","TSAwS","SP.MSC","I",5120,5120,3.70926996097583
"196","UD","TSAwS","SP.MSC","I",1786.66666666667,1786.66666666667,3.25204353497311
"197","UC","TSAwS","SP.MSC","J",80,80,1.90308998699194
"198","UA","TSAwS","SP.MSC","J",20,20,1.30102999566398
"199","UB","TSAwS","SP.MSC","J",0,10,1
"200","UD","TSAwS","SP.MSC","J",33.3333333333333,33.3333333333333,1.52287874528034
"201","UC","TSAwS","STSE","A",0,10,1
"202","UA","TSAwS","STSE","A",0,10,1
"203","UB","TSAwS","STSE","A",0,10,1
"204","UD","TSAwS","STSE","A",0,10,1
"205","UC","TSAwS","STSE","B",0,10,1
"206","UA","TSAwS","STSE","B",0,10,1
"207","UB","TSAwS","STSE","B",0,10,1
"208","UD","TSAwS","STSE","B",0,10,1
"209","UC","TSAwS","STSE","C",20,20,1.30102999566398
"210","UA","TSAwS","STSE","C",20,20,1.30102999566398
"211","UB","TSAwS","STSE","C",0,10,1
"212","UD","TSAwS","STSE","C",0,10,1
"213","UC","TSAwS","STSE","D",120,120,2.07918124604762
"214","UA","TSAwS","STSE","D",0,10,1
"215","UB","TSAwS","STSE","D",60,60,1.77815125038364
"216","UD","TSAwS","STSE","D",0,10,1
"217","UC","TSAwS","STSE","E",0,10,1
"218","UA","TSAwS","STSE","E",20,20,1.30102999566398
"219","UB","TSAwS","STSE","E",0,10,1
"220","UD","TSAwS","STSE","E",0,10,1
"221","UC","TSAwS","STSE","F",660,660,2.81954393554187
"222","UA","TSAwS","STSE","F",1080,1080,3.03342375548695
