"","test","sampling_scheme","OverallMean","Overallsd","n"
"1","HHR","11 g discrete",2.83381391216585,1.08066224468916,10
"2","HHR","33 g composite",2.87261756180616,1.03500797181708,10
"3","HHR","33 g discrete",2.86652132156627,1.09636469276368,10
"4","SP MSC","11 g discrete",1.87470122145005,0.273885150924999,10
"5","SP MSC","33 g composite",1.80382376698393,0.348033699850943,10
"6","SP MSC","33 g discrete",1.82705027001543,0.374684349494795,10
"7","STSE","11 g discrete",1.87294167953106,0.841030796482831,10
"8","STSE","33 g composite",2.06198560183534,0.800085722123795,10
"9","STSE","33 g discrete",1.97108629414179,0.784870777000059,10
