"","powder","test","media","mean_count","lab"
"133","C","HHR.TSC","PCMA",120,"UB"
"134","C","HHR.TSC","TSAwS",80,"UB"
"135","C","STSE","PCMA",0,"UB"
"136","C","STSE","TSAwS",0,"UB"
"137","C","SP.MSC","PCMA",60,"UB"
"138","C","SP.MSC","TSAwS",40,"UB"
"139","D","HHR.TSC","PCMA",220,"UB"
"140","D","HHR.TSC","TSAwS",120,"UB"
"141","D","STSE","PCMA",40,"UB"
"142","D","STSE","TSAwS",60,"UB"
"143","D","SP.MSC","PCMA",100,"UB"
"144","D","SP.MSC","TSAwS",100,"UB"
"145","E","HHR.TSC","PCMA",100,"UB"
"146","E","HHR.TSC","TSAwS",40,"UB"
"147","E","STSE","PCMA",0,"UB"
"148","E","STSE","TSAwS",0,"UB"
"149","E","SP.MSC","PCMA",1400,"UB"
"150","E","SP.MSC","TSAwS",1200,"UB"
"151","F","HHR.TSC","PCMA",5200,"UB"
"152","F","HHR.TSC","TSAwS",3120,"UB"
"153","F","STSE","PCMA",1080,"UB"
"154","F","STSE","TSAwS",800,"UB"
"155","F","SP.MSC","PCMA",40,"UB"
"156","F","SP.MSC","TSAwS",80,"UB"
"157","G","HHR.TSC","PCMA",760,"UB"
"158","G","HHR.TSC","TSAwS",480,"UB"
"159","G","STSE","PCMA",60,"UB"
"160","G","STSE","TSAwS",60,"UB"
"161","G","SP.MSC","PCMA",480,"UB"
"162","G","SP.MSC","TSAwS",620,"UB"
"163","H","HHR.TSC","PCMA",60,"UB"
"164","H","HHR.TSC","TSAwS",60,"UB"
"165","H","STSE","PCMA",0,"UB"
"166","H","STSE","TSAwS",0,"UB"
"167","H","SP.MSC","PCMA",140,"UB"
"168","H","SP.MSC","TSAwS",120,"UB"
"169","I","HHR.TSC","PCMA",1360,"UB"
"170","I","HHR.TSC","TSAwS",60,"UB"
"171","I","STSE","PCMA",0,"UB"
"172","I","STSE","TSAwS",0,"UB"
"173","I","SP.MSC","PCMA",10800,"UB"
"174","I","SP.MSC","TSAwS",5120,"UB"
"175","J","HHR.TSC","PCMA",1360,"UB"
"176","J","HHR.TSC","TSAwS",720,"UB"
"177","J","STSE","PCMA",220,"UB"
"178","J","STSE","TSAwS",40,"UB"
"179","J","SP.MSC","PCMA",0,"UB"
"180","J","SP.MSC","TSAwS",0,"UB"
"181","A","HHR.TSC","PCMA",0,"UD"
"182","A","HHR.TSC","TSAwS",0,"UD"
"183","A","STSE","PCMA",0,"UD"
"184","A","STSE","TSAwS",0,"UD"
"185","B","HHR.TSC","PCMA",420,"UD"
"186","B","HHR.TSC","TSAwS",0,"UD"
"187","B","STSE","PCMA",20,"UD"
"188","B","STSE","TSAwS",0,"UD"
"189","C","HHR.TSC","PCMA",120,"UD"
"190","C","HHR.TSC","TSAwS",80,"UD"
"191","C","STSE","PCMA",20,"UD"
"192","C","STSE","TSAwS",0,"UD"
"193","C","SP.MSC","TSAwS",60,"UD"
"194","D","STSE","PCMA",0,"UD"
"195","D","STSE","TSAwS",0,"UD"
"196","E","HHR.TSC","PCMA",20,"UD"
"197","E","HHR.TSC","TSAwS",0,"UD"
"198","E","STSE","PCMA",0,"UD"
"199","E","STSE","TSAwS",0,"UD"
"200","F","HHR.TSC","PCMA",1180,"UD"
"201","F","HHR.TSC","TSAwS",1680,"UD"
"202","F","STSE","PCMA",1840,"UD"
"203","F","STSE","TSAwS",1420,"UD"
"204","G","HHR.TSC","PCMA",20,"UD"
"205","G","HHR.TSC","TSAwS",0,"UD"
"206","G","STSE","PCMA",40,"UD"
"207","G","STSE","TSAwS",40,"UD"
"208","H","HHR.TSC","PCMA",0,"UD"
"209","H","HHR.TSC","TSAwS",0,"UD"
"210","H","STSE","PCMA",0,"UD"
"211","H","STSE","TSAwS",0,"UD"
"212","I","HHR.TSC","PCMA",480,"UD"
"213","I","STSE","PCMA",0,"UD"
"214","I","STSE","TSAwS",0,"UD"
"215","J","HHR.TSC","PCMA",0,"UD"
"216","J","HHR.TSC","TSAwS",20,"UD"
"217","J","STSE","PCMA",220,"UD"
"218","J","STSE","TSAwS",20,"UD"
