"","powder","test","media","mean_count","mean_SPR","lab","mean_count2","log_mean_count"
"98","G","HHR.TSC","TSA",680,"0","IA",680,2.83250891270624
"99","G","STSE","PCMA",100,"0","IA",100,2
"100","G","STSE","TSA",220,"0","IA",220,2.34242268082221
"101","G","SP.MSC","PCMA",0,"0","IA",10,1
"102","G","SP.MSC","TSA",140,"0","IA",140,2.14612803567824
"103","H","HHR.TSC","PCMA",100,"0","IA",100,2
"104","H","HHR.TSC","TSA",60,"0","IA",60,1.77815125038364
"105","H","STSE","PCMA",20,"0","IA",20,1.30102999566398
"106","H","STSE","TSA",140,"0","IA",140,2.14612803567824
"107","H","SP.MSC","PCMA",40,"0","IA",40,1.60205999132796
"108","H","SP.MSC","TSA",160,"0","IA",160,2.20411998265592
"109","I","HHR.TSC","PCMA",220,"0","IA",220,2.34242268082221
"110","I","HHR.TSC","TSA",280,"0","IA",280,2.44715803134222
"111","I","STSE","PCMA",40,"0","IA",40,1.60205999132796
"112","I","STSE","TSA",0,"0","IA",10,1
"113","I","SP.MSC","PCMA",140,"0","IA",140,2.14612803567824
"114","I","SP.MSC","TSA",80,"0","IA",80,1.90308998699194
"115","J","HHR.TSC","PCMA",100,"0","IA",100,2
"116","J","HHR.TSC","TSA",1020,"0","IA",1020,3.00860017176192
"117","J","STSE","PCMA",160,"0","IA",160,2.20411998265592
"118","J","STSE","TSA",420,"0","IA",420,2.6232492903979
"119","J","SP.MSC","PCMA",40,"0","IA",40,1.60205999132796
"120","J","SP.MSC","TSA",20,"0","IA",20,1.30102999566398
"121","A","HHR.TSC","PCMA",20,"0","IB",20,1.30102999566398
"122","A","HHR.TSC","TSA",0,"0","IB",10,1
"123","A","STSE","PCMA",720,"0","IB",720,2.85733249643127
"124","A","STSE","TSA",0,"0","IB",10,1
"125","A","SP.MSC","PCMA",60,"1","IB",60,1.77815125038364
"126","A","SP.MSC","TSA",100,"1","IB",100,2
"127","B","HHR.TSC","PCMA",0,"0","IB",10,1
"128","B","HHR.TSC","TSA",40,"0","IB",40,1.60205999132796
"129","B","STSE","PCMA",20,"0","IB",20,1.30102999566398
"130","B","STSE","TSA",0,"0","IB",10,1
"131","B","SP.MSC","PCMA",60,"0","IB",60,1.77815125038364
"132","B","SP.MSC","TSA",60,"0","IB",60,1.77815125038364
"133","C","HHR.TSC","PCMA",0,"0","IB",10,1
"134","C","HHR.TSC","TSA",0,"0","IB",10,1
"135","C","STSE","PCMA",40,"0","IB",40,1.60205999132796
"136","C","STSE","TSA",140,"0","IB",140,2.14612803567824
"137","C","SP.MSC","PCMA",60,"1","IB",60,1.77815125038364
"138","C","SP.MSC","TSA",100,"1","IB",100,2
"139","D","HHR.TSC","PCMA",60,"0","IB",60,1.77815125038364
"140","D","HHR.TSC","TSA",0,"0","IB",10,1
"141","D","STSE","PCMA",60,"0","IB",60,1.77815125038364
"142","D","STSE","TSA",0,"0","IB",10,1
"143","D","SP.MSC","PCMA",140,"1","IB",140,2.14612803567824
"144","D","SP.MSC","TSA",160,"0","IB",160,2.20411998265592
"145","E","HHR.TSC","PCMA",20,"0","IB",20,1.30102999566398
"146","E","HHR.TSC","TSA",40,"0","IB",40,1.60205999132796
"147","E","STSE","PCMA",0,"0","IB",10,1
"148","E","STSE","TSA",0,"0","IB",10,1
"149","E","SP.MSC","PCMA",220,"1","IB",220,2.34242268082221
"150","E","SP.MSC","TSA",100,"1","IB",100,2
"151","F","HHR.TSC","PCMA",20,"0","IB",20,1.30102999566398
"152","F","HHR.TSC","TSA",0,"0","IB",10,1
"153","F","STSE","PCMA",40,"0","IB",40,1.60205999132796
"154","F","STSE","TSA",40,"0","IB",40,1.60205999132796
"155","F","SP.MSC","PCMA",60,"0","IB",60,1.77815125038364
